review_id,product_id,user_id,rating,title,review_text
236,104,U236,5.0,great results,worried started combo feel soft goodness aloe bamboo thing sulfate paraben free recommend
237,104,U237,5.0,Perfect for dry n frizzy hair,shampoo conditioner dry frizzy give soft shiny nourished conditioner super soft nourished felt never effective dry frizzy
238,104,U238,5.0,Silky Shiny hair,significant change texture fragrance ordered full size bottle fully recommend
239,104,U239,5.0,Nicee,shiny superb
240,104,U240,5.0,Everyone Should try this,absolutely conditioner conditioner shampoo range conditioner work superb quality
241,104,U241,5.0,Awesome,combo quality effective
242,104,U242,5.0,Good combo,sulphate paraben free check
243,104,U243,4.0,Nice,soft smell
244,104,U244,4.0,Aloe & Bamboo Shampoo + Conditioner,combo soft thing sulphate paraben free
245,104,U245,5.0,Shampoo and conditioner,honestly herbal essence thing paraben sulphate free fragrance soothing packaging
246,104,U246,4.0,Aloe and bamboo,combo healthy conditioner work conditioner optional step care shine contioner week work smoothining treatment respective shampoo serum
247,104,U247,3.0,Didn't suit me,dry rough clean scalp
248,104,U248,5.0,The best combo,superb paraben free
249,104,U249,5.0,Love this product,soft smell feeling comfortable quality excellent price range
250,104,U250,5.0,Very fresh smell,bottle healthier silky shiny manageable moisturize wash smell soothen feel nourished highly recommended
251,104,U251,5.0,Takes perfect care of your hair,shampoo conditioner duo fragrance soft
252,104,U252,5.0,Amazing combo!,shampoo conditioner week soft easily manageable fragrance
253,104,U253,5.0,I'm loving it,combo effecting strengthens root hairfall reduce wanted finally purchase satisfied result
254,104,U254,4.0,Amazing combo,combo strong
255,104,U255,5.0,Best shampoo conditioner duo,duo shampoo conditioner herbal essence shampoo month shampoo conditioner fall completely stopped healthy work
256,104,U256,5.0,So good 💕💕,herbal essence aloe bamboo shampoo conditioner soft no sulphate paraben lovely combo conditioner awesome shampoo fab fragrance combo buy
257,105,U257,5.0,Finally I got my HG.,oily scalp severely thin texture density pain find shampoo remove oil add volume not dry frizzy shampoo conditioner add shine parlour washed never changing discontinue
258,105,U258,5.0,Best Shampoo Brand- Go for it !!!,search shampoo conditioner shampoo gentle quantity require soft fall reduce conditioner fall lil comparison conditioner shampoo argan oil coconut shampoo range
259,105,U259,5.0,Smells good,herbal essence shampoo promising paraben sulphate free dry frizzy recommended oil wash shampoo dry wash
260,105,U260,5.0,It’s good !,bought mom healthier
